id,enabled,title,message,ctaLabel,ctaLink,placement
ad1,false,Open to Collaboration,I am open to research and industry collaborations focused on digital geosciences and data-driven workflows.,Check my current research,/research-archive,home, blog, top
ad2,false,Partner with us,Exploring joint research and data-driven projects in digital geosciences.,contact me,/about,research, bottom
