label,link,iconKey
KFUPM,https://cpg.kfupm.edu.sa/qubalee,Globe
ResearchGate,https://www.researchgate.net/profile/Abdullah-Alqubalee,academia
ORCID,https://orcid.org/0000-0002-0543-9026,ShieldCheck
Scopus,https://www.scopus.com/authid/detail.uri?authorId=57196439599,Database
WOS,https://www.webofscience.com/wos/author/1234567890,Link
GitHub,https://github.com/qubalee,Github
LinkedIn,https://linkedin.com/in/qubalee,Linkedin
Scholar,https://scholar.google.com/citations?user=B-qHbuwAAAAJ&hl,BookOpen
